jobid,intercept,mnk,mn,mk,nk,tvalue_mnk,tvalue_mn,tvalue_mk,tvalue_nk,intercept_residual,mnk_residual,mn_residual,mk_residual,nk_residual,tvalue_mnk_residual,tvalue_mn_residual,tvalue_mk_residual,tvalue_nk_residual,avg_gflops,function,cluster,node,expfile_hash,cpu,start_time,expfile,exp_kind
1965909,0,7.77609111444685e-11,-1.0012245357106538e-09,2.3862991022612935e-09,2.5441597469281043e-09,114.19509684771143,-2.9577757493358083,11.798938135731904,12.579472302100882,0,4.4095480737668043e-13,-1.0761817322038826e-10,1.2324675007507529e-10,3.045393579767629e-10,2.2485274467639145,-1.1039194133550645,2.1159797989724902,5.228528371566397,25.700517161096805,dgemm,dahu,5,668b724550b44d64f372394da4dc0fd9147c539970eacbeec02d0594817b0d8d,0,1607280753,exp_512_27.csv,512
1965909,0,7.115043699515619e-11,-9.232127451818445e-10,2.2474634782126606e-09,2.284049061977625e-09,100.00756446963616,-2.610385894618373,10.636037302475541,10.809177216618462,0,4.318089007250286e-13,-1.0328348845335366e-10,1.1585076012681275e-10,2.496399813637466e-10,1.8842187191694506,-0.9066053251728042,1.7020430532005226,3.6676323540404203,28.091755952003254,dgemm,dahu,5,668b724550b44d64f372394da4dc0fd9147c539970eacbeec02d0594817b0d8d,1,1607280753,exp_512_27.csv,512
1965909,0,7.909015103702668e-11,-1.1255718717655603e-09,2.3395693759488715e-09,2.689484030231743e-09,113.28946514882989,-3.2433065312525944,11.283269964330035,12.970837577984437,0,1.74640684922661e-13,-2.53564235495542e-11,1.6354640951132654e-10,3.779024237961503e-10,0.8519282216544404,-0.24882454607611826,2.6861516217859163,6.2068205079522665,25.33391826405723,dgemm,dahu,6,668b724550b44d64f372394da4dc0fd9147c539970eacbeec02d0594817b0d8d,0,1607280753,exp_512_27.csv,512
1965909,0,7.000163642371393e-11,-8.273036704623089e-10,2.2470601657390777e-09,2.4806485018244424e-09,100.42155448231738,-2.387433821225574,10.85338922074848,11.98163009636727,0,6.388222187548803e-14,1.2490221477562097e-10,9.836583293010196e-11,2.498654907805096e-10,0.323290184331523,1.2715407679391604,1.6760567116249068,4.257461359817021,28.445068447327902,dgemm,dahu,6,668b724550b44d64f372394da4dc0fd9147c539970eacbeec02d0594817b0d8d,1,1607280753,exp_512_27.csv,512
1965910,0,7.444491290141832e-11,-4.242683670276194e-10,1.2465930633438275e-09,5.341747452134947e-09,114.36161841079854,-6.055096554459221,2.1256663857726643,9.108644459991053,0,3.6779214076147734e-13,-2.736593954614626e-11,1.7108573904560203e-10,-8.12221623883853e-12,1.7562380380029938,-1.2140217052677724,0.906817467387785,-0.04305073935657662,27.670693096749797,dgemm,dahu,5,78687ae88e5332ac909cb73612b2e7b1fd4bd82d6d4fe178e76d99f8e5628a05,0,1607282309,exp_128_25.csv,128
1965910,0,6.816211904877986e-11,-4.4861217555021277e-10,1.5099014977739846e-09,5.278606276110679e-09,142.63806139661128,-8.72164798904778,3.5072449008876574,12.261306431563,0,4.868257032712433e-13,-4.4046960229964846e-11,7.921571627267599e-11,-1.5028591575654001e-10,2.409478895153195,-2.025352977115513,0.43519722008198036,-0.8256444028049623,30.37909459456869,dgemm,dahu,5,78687ae88e5332ac909cb73612b2e7b1fd4bd82d6d4fe178e76d99f8e5628a05,1,1607282309,exp_128_25.csv,128
1965910,0,7.617042061347331e-11,-5.172736316862212e-10,1.6076101966481608e-09,5.0069385333650745e-09,145.14583636620472,-9.157432428663121,3.4003538476699573,10.590479422482197,0,4.218048333428999e-13,-3.3457075189304844e-11,2.0740613015080018e-10,-1.0602938446504655e-10,1.9191899516997037,-1.4142609022697303,1.0474978251856915,-0.5354979120055932,27.291662443670244,dgemm,dahu,6,78687ae88e5332ac909cb73612b2e7b1fd4bd82d6d4fe178e76d99f8e5628a05,0,1607282309,exp_128_25.csv,128
1965910,0,6.825953582682547e-11,-6.274764323652236e-10,1.6844002779302354e-09,4.65256829330394e-09,135.453760282962,-11.568054006065285,3.710207268478311,10.24815355654018,0,3.380145306492965e-13,-2.4517410401879384e-11,1.6411744098740174e-10,-1.3577404778617244e-10,1.4911103257700555,-1.0048104845786772,0.8036265498848891,-0.6648387211611692,31.022699578275184,dgemm,dahu,6,78687ae88e5332ac909cb73612b2e7b1fd4bd82d6d4fe178e76d99f8e5628a05,1,1607282309,exp_128_25.csv,128
1965911,0,7.750018441318786e-11,-7.915894898485246e-10,2.375041142140136e-09,2.863239030155717e-09,133.31414492716738,-2.839704215572689,10.224673056896602,12.326389824433825,0,6.779036845902512e-13,-2.0833241911942829e-10,1.5246821129098565e-11,1.169120093633417e-10,4.077411892949909,-2.61320234374581,0.22950951406232495,1.7598696954488964,25.66610362102689,dgemm,dahu,5,0ae2c58e8e7a210d864c5f2e9e19b39e4e6112653882685fe505b7589d1a5bb7,0,1607283846,exp_512_28.csv,512
1965911,0,7.064561625190896e-11,-6.72006040396393e-10,2.2047289214671105e-09,2.705783299774145e-09,118.0199425094978,-2.341223900127479,9.21786147367323,11.312744796988206,0,5.357656499822836e-13,-1.3643556535334159e-10,-1.4373790639110869e-11,2.026188174550961e-10,3.263101464533463,-1.7329374946913125,-0.21909467603058516,3.088447945473242,28.097824094389555,dgemm,dahu,5,0ae2c58e8e7a210d864c5f2e9e19b39e4e6112653882685fe505b7589d1a5bb7,1,1607283846,exp_512_28.csv,512
1965911,0,7.86276595516912e-11,-8.566465851368067e-10,2.2670484872671876e-09,2.9966486652575598e-09,139.38018479853093,-3.1668461609054974,10.057529000237642,13.294325650124128,0,6.021110153380226e-13,-1.6351532643082464e-10,-8.266730709391099e-11,9.120570739647485e-11,4.179105447133562,-2.366817729653761,-1.435969927015865,1.5842859480684939,25.33751530683534,dgemm,dahu,6,0ae2c58e8e7a210d864c5f2e9e19b39e4e6112653882685fe505b7589d1a5bb7,0,1607283846,exp_512_28.csv,512
1965911,0,7.016328471628428e-11,-8.279266967769173e-10,2.2510118767840018e-09,2.4147651572481263e-09,116.70939117074039,-2.8720193997370087,9.370838964261758,10.052534888181624,0,3.825763059127167e-13,-5.314981693542123e-11,2.221649558702097e-11,2.7958767644035616e-10,2.06084263807713,-0.59707395346608,0.2995070942535263,3.769203483589312,28.449471126602248,dgemm,dahu,6,0ae2c58e8e7a210d864c5f2e9e19b39e4e6112653882685fe505b7589d1a5bb7,1,1607283846,exp_512_28.csv,512
1965912,0,7.789528190196444e-11,-4.3605961338575107e-10,1.9111535889636035e-09,3.1213237934009848e-09,153.02621716221495,-3.759276966534168,5.969079828483972,9.748787853026766,0,8.565168779606916e-14,-3.547963961780698e-12,2.681235978599809e-10,3.8019641176954486e-10,0.7838681172567284,-0.14249185628774183,3.901209032912031,5.531872941115232,25.807801333435894,dgemm,dahu,5,a8811ad713087f25c947925e1de836bc038b4738b4950954bf163141c71ad707,0,1607285390,exp_256_22.csv,256
1965912,0,7.111230851453034e-11,-4.048903161387916e-10,1.935217929879397e-09,2.8945161556947854e-09,142.95986223776688,-3.571992205829432,6.185236788412095,9.251292856702845,0,1.4055505738490175e-13,1.7322897880815136e-11,2.0779254648727832e-10,2.0480391713343701e-10,1.415588764463449,0.7656229523883075,3.3271907738505373,3.279336603040957,28.256479598035202,dgemm,dahu,5,a8811ad713087f25c947925e1de836bc038b4738b4950954bf163141c71ad707,1,1607285390,exp_256_22.csv,256
1965912,0,7.888123836050027e-11,-4.530087438980375e-10,2.066621742772933e-09,3.4236120554921684e-09,162.57152384722093,-4.097142890367947,6.77156198693135,11.21792187372621,0,2.9330799424119513e-13,-4.774525200221455e-11,2.0022738238036457e-10,2.951139760837279e-10,2.7502903396100327,-1.9646654254251277,2.984937352425834,4.399481828922961,25.46846014574537,dgemm,dahu,6,a8811ad713087f25c947925e1de836bc038b4738b4950954bf163141c71ad707,0,1607285390,exp_256_22.csv,256
