jobid,expfile,m,n,k,node,cpu,duration
1960066,exp_dgemm_c.csv,2770,4846,199,8,0,0.19058440000000001
1960066,exp_dgemm_c.csv,1584,3121,608,8,0,0.2219281
1960066,exp_dgemm_c.csv,1665,904,5760,8,0,0.6639214
1960066,exp_dgemm_c.csv,321,10068,930,8,0,0.24302800000000002
1960066,exp_dgemm_c.csv,4806,2189,887,8,0,0.6908171
1960066,exp_dgemm_c.csv,2074,2121,1820,8,0,0.6116431
1960066,exp_dgemm_c.csv,492,259,5162,8,0,0.05915005
1960066,exp_dgemm_c.csv,1803,938,3941,8,0,0.5119051
1960066,exp_dgemm_c.csv,3199,1186,614,8,0,0.168528
1960066,exp_dgemm_c.csv,649,2210,2330,8,0,0.2545022
1960066,exp_dgemm_c.csv,348,6455,2967,8,0,0.5091543
1960066,exp_dgemm_c.csv,2025,1646,101,8,0,0.02450216
1960066,exp_dgemm_c.csv,223,5813,1031,8,0,0.1152421
1960066,exp_dgemm_c.csv,502,415,3157,8,0,0.05469194
1960066,exp_dgemm_c.csv,4407,1112,818,8,0,0.2967019
1960066,exp_dgemm_c.csv,1202,535,5696,8,0,0.2865395
1960066,exp_dgemm_c.csv,1637,1328,2760,8,0,0.4507224
1960066,exp_dgemm_c.csv,771,2613,1492,8,0,0.22921799999999998
1960066,exp_dgemm_c.csv,780,3463,1853,8,0,0.3764341
1960066,exp_dgemm_c.csv,2437,1749,784,8,0,0.2460085
1960066,exp_dgemm_c.csv,429,2448,7297,8,0,0.5933262
1960066,exp_dgemm_c.csv,259,492,5162,8,0,0.05543973
1960066,exp_dgemm_c.csv,199,6894,1947,8,0,0.23037489999999997
1960066,exp_dgemm_c.csv,811,13709,720,8,0,0.5991293000000001
1960066,exp_dgemm_c.csv,1386,743,9703,8,0,0.7792875
1960066,exp_dgemm_c.csv,3440,978,794,8,0,0.2005283
1960066,exp_dgemm_c.csv,8168,1406,406,8,0,0.3406368
1960066,exp_dgemm_c.csv,9890,408,163,8,0,0.05013787
1960066,exp_dgemm_c.csv,5871,626,2539,8,0,0.7217412
1960066,exp_dgemm_c.csv,873,1454,3943,8,0,0.3903109
1960066,exp_dgemm_c.csv,1210,344,11201,8,0,0.3751604
1960066,exp_dgemm_c.csv,2294,1412,1131,8,0,0.2736255
