node,cpu,kind,expfile,exp_kind,start_time,value,subgroup
7,1,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,61.07216494845361,
7,1,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,61.59600515463917,
7,1,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,59.418170103092784,
7,1,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,60.47279411764706,
7,1,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,61.108247422680414,
7,1,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,61.85735294117647,
7,1,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,60.52325581395349,
7,1,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,60.95871559633027,
7,1,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,61.65857438016529,
7,1,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,61.044724770642205,
7,1,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,61.02178899082569,
7,1,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,61.36410550458716,
7,1,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,60.90392561983471,
7,1,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,61.92590206185567,
7,1,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,58.73002577319588,
8,0,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.097041526417532,
8,0,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.0850895425257736,
8,0,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.124494280283501,
8,0,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.1121777036764673,
8,0,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.088262934922675,
8,0,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.0874557176470616,
8,0,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.1199632267441824,
8,0,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.0851307620412878,
8,0,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.0621419514462778,
8,0,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.093778688073388,
8,0,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.0507737993119255,
8,0,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.0718911553899066,
8,0,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.0868780351239686,
8,0,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.062692844716489,
8,0,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.097400856958764,
8,0,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,71.48711340206185,
8,0,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,71.86146907216495,
8,0,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,68.6610824742268,
8,0,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,69.12867647058823,
8,0,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,71.63981958762886,
8,0,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,71.70220588235294,
8,0,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,69.21656976744185,
8,0,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,71.44896788990826,
8,0,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,72.17561983471074,
8,0,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,71.5177752293578,
8,0,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,71.49827981651376,
8,0,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,71.76720183486239,
8,0,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,71.43336776859505,
8,0,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,72.0,
8,0,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,66.46713917525773,
8,1,frequency,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,2.306222436855678,
8,1,frequency,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,2.2762706527061924,
8,1,frequency,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,2.2966963775773275,
8,1,frequency,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,2.2662600860294178,
8,1,frequency,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,2.2959049407216545,
8,1,frequency,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,2.2556171433823575,
8,1,frequency,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,2.263997727470929,
8,1,frequency,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,2.2776768893348684,
8,1,frequency,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,2.2517211787190097,
8,1,frequency,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,2.284313935206426,
8,1,frequency,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,2.24780297075688,
8,1,frequency,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,2.247931351490826,
8,1,frequency,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,2.2785900413223192,
8,1,frequency,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,2.2305465270618585,
8,1,frequency,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,2.2594660753866025,
8,1,temperature,exp_dgemm_independent-sizes_1.csv,independent sizes,1606804897.4976609,60.240979381443296,
8,1,temperature,exp_dgemm_independent-sizes_2.csv,independent sizes,1606797118.542308,60.50257731958763,
8,1,temperature,exp_dgemm_independent-sizes_3.csv,independent sizes,1606777804.64556,58.32280927835052,
8,1,temperature,exp_dgemm_independent-sizes_5.csv,independent sizes,1606783674.8298,59.20073529411765,
8,1,temperature,exp_dgemm_independent-sizes_6.csv,independent sizes,1606800913.3189461,60.03737113402062,
8,1,temperature,exp_dgemm_independent-sizes_7.csv,independent sizes,1606775930.9081979,60.491176470588236,
8,1,temperature,exp_dgemm_independent-sizes_8.csv,independent sizes,1606799049.66113,59.221656976744185,
8,1,temperature,exp_dgemm_uniform-product_1.csv,uniform product,1606793148.450793,59.94094036697248,
8,1,temperature,exp_dgemm_uniform-product_2.csv,uniform product,1606802846.8377962,60.637913223140494,
8,1,temperature,exp_dgemm_uniform-product_3.csv,uniform product,1606795128.618518,60.00516055045872,
8,1,temperature,exp_dgemm_uniform-product_4.csv,uniform product,1606791160.3963299,60.11869266055046,
8,1,temperature,exp_dgemm_uniform-product_5.csv,uniform product,1606779737.4527612,60.277522935779814,
8,1,temperature,exp_dgemm_uniform-product_6.csv,uniform product,1606785543.645348,59.83780991735537,
8,1,temperature,exp_dgemm_uniform-product_7.csv,uniform product,1606789220.683467,60.706829896907216,
8,1,temperature,exp_dgemm_uniform-product_8.csv,uniform product,1606781742.398974,57.516752577319586,
5,0,power,exp_dgemm_independent-sizes_1.csv,independent sizes,1606800901.0,124.54530599721016,package
5,0,power,exp_dgemm_independent-sizes_2.csv,independent sizes,1606793128.0,124.63859759095048,package
5,0,power,exp_dgemm_independent-sizes_3.csv,independent sizes,1606773812.0,124.3348804702293,package
5,0,power,exp_dgemm_independent-sizes_5.csv,independent sizes,1606779684.0,124.63880773911576,package
5,0,power,exp_dgemm_independent-sizes_6.csv,independent sizes,1606796919.0,124.63243481078779,package
5,0,power,exp_dgemm_independent-sizes_7.csv,independent sizes,1606771939.0,124.638344519454,package
5,0,power,exp_dgemm_independent-sizes_8.csv,independent sizes,1606795061.0,124.63867495527896,package
5,0,power,exp_dgemm_uniform-product_1.csv,uniform product,1606789157.0,124.49118217227189,package
5,0,power,exp_dgemm_uniform-product_2.csv,uniform product,1606798856.0,124.63812980196076,package
5,0,power,exp_dgemm_uniform-product_3.csv,uniform product,1606791139.0,124.52437210971834,package
5,0,power,exp_dgemm_uniform-product_4.csv,uniform product,1606787162.0,124.63812014819085,package
5,0,power,exp_dgemm_uniform-product_5.csv,uniform product,1606775744.0,124.6382938594261,package
5,0,power,exp_dgemm_uniform-product_6.csv,uniform product,1606781552.0,124.48760699931182,package
5,0,power,exp_dgemm_uniform-product_7.csv,uniform product,1606785230.0,124.63831988832845,package
5,0,power,exp_dgemm_uniform-product_8.csv,uniform product,1606777752.0,124.63896096552578,package
5,1,power,exp_dgemm_independent-sizes_1.csv,independent sizes,1606800901.0,121.78755012025452,package
5,1,power,exp_dgemm_independent-sizes_2.csv,independent sizes,1606793128.0,123.40248783668294,package
5,1,power,exp_dgemm_independent-sizes_3.csv,independent sizes,1606773812.0,121.68257542786131,package
5,1,power,exp_dgemm_independent-sizes_5.csv,independent sizes,1606779684.0,124.02345314703506,package
5,1,power,exp_dgemm_independent-sizes_6.csv,independent sizes,1606796919.0,122.09394819916248,package
5,1,power,exp_dgemm_independent-sizes_7.csv,independent sizes,1606771939.0,124.60051882903011,package
5,1,power,exp_dgemm_independent-sizes_8.csv,independent sizes,1606795061.0,124.63650039083808,package
5,1,power,exp_dgemm_uniform-product_1.csv,uniform product,1606789157.0,121.62339209395736,package
5,1,power,exp_dgemm_uniform-product_2.csv,uniform product,1606798856.0,122.56562859446097,package
5,1,power,exp_dgemm_uniform-product_3.csv,uniform product,1606791139.0,121.66554714134459,package
5,1,power,exp_dgemm_uniform-product_4.csv,uniform product,1606787162.0,122.2810451141323,package
5,1,power,exp_dgemm_uniform-product_5.csv,uniform product,1606775744.0,123.00380341114528,package
5,1,power,exp_dgemm_uniform-product_6.csv,uniform product,1606781552.0,121.56362210985885,package
5,1,power,exp_dgemm_uniform-product_7.csv,uniform product,1606785230.0,123.61572233245069,package
5,1,power,exp_dgemm_uniform-product_8.csv,uniform product,1606777752.0,122.91215549015946,package
6,0,power,exp_dgemm_independent-sizes_1.csv,independent sizes,1606800901.0,124.63775375254062,package
6,0,power,exp_dgemm_independent-sizes_2.csv,independent sizes,1606793128.0,124.63801627105425,package
6,0,power,exp_dgemm_independent-sizes_3.csv,independent sizes,1606773812.0,124.63800480815262,package
6,0,power,exp_dgemm_independent-sizes_5.csv,independent sizes,1606779684.0,124.63779902488872,package
6,0,power,exp_dgemm_independent-sizes_6.csv,independent sizes,1606796919.0,124.63787211610911,package
6,0,power,exp_dgemm_independent-sizes_7.csv,independent sizes,1606771939.0,124.63779401564939,package
